,down,yardsToGo,possessionTeam,yardlineSide,absoluteYardlineNumber,avg_def_speed,std_def_acc,def_players_near_los,avg_def_spacing,avg_olb_orientation,avg_olb_motion_angle,avg_ilb_orientation,avg_ilb_motion_angle,avg_mlb_orientation,avg_mlb_motion_angle,avg_lb_orientation,avg_lb_motion_angle,avg_cb_orientation,avg_cb_motion_angle,avg_ss_orientation,avg_ss_motion_angle,avg_fs_orientation,avg_fs_motion_angle,successfulBlitz
7,3,12,ARI,CAR,82,0.1975282485782574,0.4049875265923349,10.0,5.122043711674299,255.96500000000003,230.70572033898307,260.5735169491526,255.91978813559325,0.0,0.0,0.0,0.0,270.25771186440676,192.2314406779661,270.40101694915256,177.10135593220338,258.80911016949153,174.2064406779661,1
10,3,5,DAL,LA,95,0.5589069264069265,0.5057344082912061,8.0,9.660262012234984,238.51181818181817,218.7364935064935,263.4321103896104,185.77516233766235,0.0,0.0,0.0,0.0,247.89597402597403,171.7739826839827,249.5875324675325,176.28688311688313,285.8736363636363,173.56506493506492,1
20,3,6,NE,NE,77,,,,,,,,,,,,,,,,,,,0
22,1,10,LAC,LAC,63,0.530765503875969,0.4145418763591839,10.0,9.58643076780472,89.59337209302325,120.9838372093023,0.0,0.0,94.1603488372093,177.8543023255814,0.0,0.0,112.39581395348836,182.915,90.28767441860468,141.70988372093024,82.78290697674417,248.19476744186048,0
23,1,4,CIN,NYJ,106,,,,,,,,,,,,,,,,,,,1
26,2,7,WAS,WAS,85,0.3901729559748428,0.3349487913313639,9.0,8.657028176510089,67.57792452830189,189.1516981132076,91.38811320754716,120.36084905660375,0.0,0.0,0.0,0.0,98.425534591195,163.82188679245283,95.54132075471698,245.30990566037735,0.0,0.0,1
35,1,10,NE,PIT,79,,,,,,,,,,,,,,,,,,,0
39,1,10,BAL,CIN,81,0.2799404761904762,0.391537938370204,8.0,8.106679491982076,265.32919642857144,163.37535714285715,262.4016964285714,159.7848214285714,0.0,0.0,0.0,0.0,268.9275595238095,148.0882142857143,255.905,150.39348214285715,256.2602678571429,166.79,0
42,2,2,CHI,CHI,77,0.7580107526836324,0.3849760306651786,11.0,8.332933781021364,149.35752688172042,209.07010752688169,93.52360215053764,179.58424731182794,0.0,0.0,0.0,0.0,116.16713261648744,200.43,108.197311827957,201.5441935483871,102.49473118279572,291.30892473118274,0
45,2,5,NE,GB,65,0.7180112044968713,0.4720963991710217,11.0,8.713151590562337,259.8050840336134,238.00008403361343,263.2510924369748,158.68491596638654,0.0,0.0,0.0,0.0,255.87983193277313,177.10932773109246,288.2149579831933,154.67949579831932,275.0778151260504,94.38352941176473,0
47,4,1,PHI,DET,70,0.58390625,0.6488782128696394,11.0,5.391653359552131,264.84890625,266.159375,283.88734375,262.3921875,0.0,0.0,0.0,0.0,273.15140625000004,196.63046875,0.0,0.0,286.317578125,199.807421875,0
51,2,6,CIN,CIN,81,,,,,,,,,,,,,,,,,,,0
55,2,7,NO,NO,70,,,,,,,,,,,,,,,,,,,0
56,3,16,HOU,DEN,79,,,,,,,,,,,,,,,,,,,1
57,1,10,HOU,DEN,87,,,,,,,,,,,,,,,,,,,0
